,hour,stop_ID,card_id,StopLocationID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
0,0,163,1,163.0,Mill Park Stables SC,Mill Park Stables SC/Childs Rd (Mill Park),Bus Bay,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.667262,145.059507
1,0,461,1,461.0,Quality Dr,Quality Dr/Frankston-Dandenong Rd (Dandenong South),Kerbside,Dandenong South,3175.0,Melbourne,Greater Dandenong,Greater Metro,-38.026332000000004,145.21320500000002
2,0,934,1,934.0,Johnston St,Johnston St/Hoddle St (Collingwood),Kerbside,Collingwood,3066.0,Melbourne,Yarra,Greater Metro,-37.799399,144.992886
3,0,941,1,941.0,Rathdowne Street,Rathdowne St/Elgin St (Carlton),Kerbside,Carlton,3053.0,Melbourne,Melbourne,Greater Metro,-37.79741,144.97002
4,0,4346,1,4346.0,Tunstall Square SC,Tunstall Square SC/Doncaster Rd (Doncaster East),Bus Bay,Doncaster East,3109.0,Melbourne,Manningham,Greater Metro,-37.790144,145.169883
5,0,4444,1,4444.0,Harold Street - Stop 137,137-Harold St/Danks St (Middle Park),Platform,Middle Park,3206.0,Melbourne,Port Phillip,Greater Metro,-37.851021,144.958993
6,0,6134,1,6134.0,Murchison Street - Stop 14,14-Murchison St/Nicholson St (Carlton),Safety Zone,Carlton,3053.0,Melbourne,Melbourne,Greater Metro,-37.80035,144.97444
7,0,8218,1,8218.0,Harrow St,Harrow St/Station St (Box Hill),Kerbside,Box Hill,3128.0,Melbourne,Whitehorse,Greater Metro,-37.821628999999994,145.123222
8,0,17851,1,17851.0,Collins Street - Stop 2,2-Collins St/Elizabeth St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.815381,144.963602
9,0,17877,2,17877.0,Flinders Street - Stop 1,1-Flinders Street Railway Station/Elizabeth St (Melbourne City),Safety Zone,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.817901,144.964844
10,0,17887,1,17887.0,Bourke Street Mall - Stop 5,5-Elizabeth St/Bourke St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.814133,144.963374
11,0,17888,1,17888.0,Swanston Street - Stop 6,6-Swanston St/Bourke St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.813401,144.965892
12,0,17908,1,17908.0,William Street - Stop 3,3-William St/Collins St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.817368,144.959917
13,0,18038,1,18038.0,Waterfront City - Stop D11,D11-Waterfront City/434 Docklands Dr (Docklands),Platform,Docklands,3008.0,Melbourne,Melbourne,Greater Metro,-37.814456,144.938647
14,0,18053,1,18053.0,Etihad Stadium/Bourke Street - Stop D3,D3-Bourke St/Harbour Esp (Docklands),Platform,Docklands,3008.0,Melbourne,Melbourne,Greater Metro,-37.817726,144.94611899999998
15,0,18086,1,18086.0,West Coburg - Stop 45,45-Bell St/Melville Rd (Pascoe Vale South),Safety Zone,Pascoe Vale South,3044.0,Melbourne,Moreland,Greater Metro,-37.73941,144.945593
16,0,18183,2,18183.0,Central Pier - Stop D2,D2-Central Pier/Harbour Esp (Docklands),Platform,Docklands,3008.0,Melbourne,Melbourne,Greater Metro,-37.814547,144.94458
17,0,18577,1,18577.0,Harp Village - Stop 40,40-Harp Village/High St (Kew East),Kerbside,Kew East,3102.0,Melbourne,Boroondara,Greater Metro,-37.798721,145.052191
18,0,18591,1,18591.0,Victoria Street - Stop 65,65-Victoria St/Church St (Richmond),Safety Zone,Richmond,3121.0,Melbourne,Yarra,Greater Metro,-37.810724,145.000627
19,0,19067,1,19067.0,Densham Road - Stop 39,39-Densham Rd/Malvern Rd (Toorak),Kerbside,Toorak,3142.0,Melbourne,Stonnington,Greater Metro,-37.850159999999995,145.01843
20,0,19273,1,19273.0,Doncaster SC,Doncaster SC/Williamsons Rd (Doncaster),Bus Bay,Doncaster,3108.0,Melbourne,Manningham,Greater Metro,-37.783803000000006,145.124842
21,0,19495,1,19495.0,Melbourne Central Station - Stop 8,8-Melbourne Central Station/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81045,144.964267
