,StopLocationID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
5,876,St Thomas PS,St Thomas PS/Diamond Creek Rd (Greensborough),Kerbside,Greensborough,3088.0,Melbourne,Banyule,Greater Metro,-37.682753000000005,145.11961499999998
7,977,David Myers Building,David Myers Building/Science Dr (Bundoora),Bus Bay,Bundoora,3083.0,Melbourne,Banyule,Greater Metro,-37.72242,145.04811
12,1701,Grandview Grove,Grandview Gr/Lower Plenty Rd (Rosanna),Kerbside,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.743721,145.063431
13,1702,Rosanna Station,Rosanna Railway Station/Turnham Ave (Rosanna),Bus Bay,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.743181,145.066575
14,1703,Turnham Avenue,Turnham Ave/Station Rd (Rosanna),Kerbside,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.744839,145.067475
17,1706,Coorie Crescent,Coorie Cres/Banyule Rd (Rosanna),Kerbside,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.743214,145.075997
19,1708,Sussex Place,Sussex Pl/Banyule Rd (Rosanna),Bus Bay,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.743278000000004,145.08356799999999
21,1710,Diane Crescent,Diane Cres/Rutherford Rd (Viewbank),Kerbside,Viewbank,3084.0,Melbourne,Banyule,Greater Metro,-37.742262,145.090096
29,1718,General Store,General Store/Lower Plenty Rd (Yallambie),Bus Bay,Yallambie,3085.0,Melbourne,Banyule,Greater Metro,-37.728815999999995,145.096155
30,1719,Yallambie Road,Yallambie Rd/Lower Plenty Rd (Yallambie),Kerbside,Yallambie,3085.0,Melbourne,Banyule,Greater Metro,-37.729119,145.10130900000001
37,1726,Glenice Street,Glenice St/Henry St (Greensborough),Kerbside,Greensborough,3088.0,Melbourne,Banyule,Greater Metro,-37.715024,145.101526
